ngram,PMI,token
conversation with,6.5683821168219625,conversation_with
reveals she,6.538939403959148,reveals_she
dies after,6.493918978951224,dies_after
that prove,6.456565292972937,that_prove
no 1,6.455060325621204,no_1
shows off,6.425728793511156,shows_off
thank you,6.405103272784711,thank_you
your favorite,6.3928645181306925,your_favorite
should never,6.378044520539621,should_never
disney world,6.37602484075941,disney_world
an open,6.360895641943735,an_open
should know,6.351161226388676,should_know
season 6,6.347722312910419,season_6
thrones season,6.339260734162219,thrones_season
we need,6.333503581287626,we_need
new england,6.3278814701130095,new_england
charged with,6.306847606728373,charged_with
even more,6.294880156449728,even_more
iphone 5,6.283554964512677,iphone_5
first child,6.278988397146982,first_child
first time,6.276148445362015,first_time
talks about,6.271481644894401,talks_about
you ll,6.268102342678907,you_ll
every woman,6.264381018783825,every_woman
i ve,6.247168833630076,i_ve
could be,6.238987793514828,could_be
t know,6.230392515949153,t_know
new album,6.213873854071177,new_album
than ever,6.211546353305921,than_ever
she was,6.203336372174706,she_was
you re,6.20196133034786,you_re
lessons from,6.196024833571317,lessons_from
searching for,6.1899317750154985,searching_for
his wife,6.166559801316434,his_wife
carry on,6.161978232268819,carry_on
first look,6.149152683320183,first_look
6 ways,6.147301530692623,6_ways
based on,6.146646578512822,based_on
at cannes,6.141125916165602,at_cannes
on earth,6.120399128517415,on_earth
5 reasons,6.110406062196077,5_reasons
he was,6.108871688171213,he_was
that ll,6.066744833399937,that_ll
you ve,6.066478889025035,you_ve
you need,6.057549370221857,you_need
will give,6.0529920316120105,will_give
dancing with,6.043082537399148,dancing_with
10 things,6.036442280635072,10_things
travel tips,6.034832768277483,travel_tips
ever need,6.018209965253559,ever_need
an interview,6.00808698937038,an_interview
t tell,6.0063137179848205,t_tell
carly rae jepsen,29.803153523035874,carly_rae_jepsen
taraji p henson,29.46528388427949,taraji_p_henson
lana del rey,28.880321383558325,lana_del_rey
neil degrasse tyson,28.088908005369753,neil_degrasse_tyson
lin manuel miranda,27.896262927427358,lin_manuel_miranda
joseph gordon levitt,27.402274086753696,joseph_gordon_levitt
shaquille o neal,27.04826602087241,shaquille_o_neal
cinco de mayo,27.01051615453441,cinco_de_mayo
julia louis dreyfus,26.673870506090907,julia_louis_dreyfus
rosie o donnell,26.192655930207586,rosie_o_donnell
lupita nyong o,26.109666565536557,lupita_nyong_o
batman v superman,25.782685242922906,batman_v_superman
dark knight rises,25.421682672355608,dark_knight_rises
lip sync battle,25.265161181888942,lip_sync_battle
robert de niro,24.679488543660565,robert_de_niro
neil patrick harris,24.41543533482893,neil_patrick_harris
rio de janeiro,24.384715237286077,rio_de_janeiro
avengers infinity war,24.142365267526323,avengers_infinity_war
sarah jessica parker,23.99319404277125,sarah_jessica_parker
cheap celeb finds,23.241759493453127,cheap_celeb_finds
j k rowling,23.082339254847216,j_k_rowling
pretty little liars,22.980975287303444,pretty_little_liars
health care reform,22.80566037864645,health_care_reform
j j abrams,22.789675754465062,j_j_abrams
taste test results,22.775554646220407,taste_test_results
chocolate chip cookie,22.668919746139863,chocolate_chip_cookie
r r martin,22.588099564028074,r_r_martin
gilmore girls revival,22.58368245564152,gilmore_girls_revival
la la land,22.280949255725265,la_la_land
better call saul,22.25137584626848,better_call_saul
louis c k,22.246363654849855,louis_c_k
looney front part,22.240367401262738,looney_front_part
bill o reilly,22.073532779482843,bill_o_reilly
celeb finds list,22.03035785603465,celeb_finds_list
big bang theory,21.989594987123066,big_bang_theory
george r r,21.776366201459894,george_r_r
weekly travel zen,21.543253367926216,weekly_travel_zen
mighty movie podcast,21.515979392030466,mighty_movie_podcast
school lunch project,21.466968856852628,school_lunch_project
9 youtube videos,21.30575723631911,9_youtube_videos
road trip playlist,21.155838763620558,road_trip_playlist
20 funniest tweets,21.09856357860391,20_funniest_tweets
our cheap celeb,21.000173506883364,our_cheap_celeb
daily fantasy sports,20.84146267610208,daily_fantasy_sports
o j simpson,20.822072799783353,o_j_simpson
michael b jordan,20.57467204025765,michael_b_jordan
ve been waiting,20.43740066632572,ve_been_waiting
washington d c,20.40624347889342,washington_d_c
wolf movie review,20.371771998356348,wolf_movie_review
saturday night live,20.36247657380393,saturday_night_live
billboard music awards,20.34363263916259,billboard_music_awards
golden state warriors,20.30820768266921,golden_state_warriors
ve never heard,20.27836105878959,ve_never_heard
american horror story,20.12370345099787,american_horror_story
toronto film festival,20.062435794008557,toronto_film_festival
sexual assault survivors,20.04470299624,sexual_assault_survivors
huffington post travel,19.874306197188663,huffington_post_travel
society for arete,19.854542942367235,society_for_arete
weekend box office,19.712951675506016,weekend_box_office
our taste test,19.703893661092962,our_taste_test
pleads not guilty,19.570775902678466,pleads_not_guilty
globes red carpet,19.520884092120987,globes_red_carpet
black friday deals,19.33377032205613,black_friday_deals
ve never seen,19.295367484095273,ve_never_seen
and meghan markle,19.292962163044272,and_meghan_markle
with jon chattman,19.23433970988121,with_jon_chattman
walt disney world,19.22301275059971,walt_disney_world
top 9 youtube,19.205885309406717,top_9_youtube
on lip sync,19.166918501885352,on_lip_sync
bachelor season 21,19.13323503667496,bachelor_season_21
amazing spider man,19.113640801037747,amazing_spider_man
golden globes red,19.00101661962172,golden_globes_red
mtv movie awards,18.989448544574145,mtv_movie_awards
friday box office,18.974070486119565,friday_box_office
handmaid s tale,18.95126136421076,handmaid_s_tale
funniest tweets from,18.83226435257025,funniest_tweets_from
ve ever seen,18.823945263773336,ve_ever_seen
season 21 episode,18.796827444510946,season_21_episode
at comic con,18.74393160184664,at_comic_con
international film festival,18.726832762224127,international_film_festival
my 2014 travels,18.638264050674067,my_2014_travels
fifty shades of,18.625120507438915,fifty_shades_of
didn t notice,18.61748869072635,didn_t_notice
super bowl ad,18.565212428957835,super_bowl_ad
kids choice awards,18.558375948690554,kids_choice_awards
sides with jon,18.55626780476857,sides_with_jon
unarmed black man,18.53748557609876,unarmed_black_man
sport and society,18.46249613723365,sport_and_society
awards red carpet,18.398487460761267,awards_red_carpet
high school football,18.37522443827568,high_school_football
grey s anatomy,18.119590014097827,grey_s_anatomy
super bowl 50,18.11720708006533,super_bowl_50
make friends podcast,18.11699195763065,make_friends_podcast
american crime story,17.929770827195007,american_crime_story
best dressed list,17.919071039544946,best_dressed_list
we re obsessed,17.914139487751942,we_re_obsessed
an open letter,17.843112455890935,an_open_letter
hall of fame,17.8412417228924,hall_of_fame
shades of grey,17.830216105294326,shades_of_grey
tina fey and,17.75312607904223,tina_fey_and
get down dirty,17.735131044443047,get_down_dirty
fourth of july,17.676182476621907,fourth_of_july
horror story season,17.670118371229805,horror_story_season
and liam hemsworth,17.663627928203127,and_liam_hemsworth
the force awakens,17.59194136923666,the_force_awakens
a huffpost deathmatch,17.54984153560914,a_huffpost_deathmatch
front part 2,17.492964824142266,front_part_2
road trip through,17.490788351576708,road_trip_through
4th of july,17.47824309901,4th_of_july
top 5 tastes,17.474631981359682,top_5_tastes
your bucket list,17.463074764087825,your_bucket_list
what happens when,17.319809058064223,what_happens_when
zaki s review,17.305863009627622,zaki_s_review
york fashion week,17.091247601686078,york_fashion_week
pleads guilty to,17.07169277764469,pleads_guilty_to
taught me about,17.06306711119966,taught_me_about
youtube videos of,16.953358418884086,youtube_videos_of
nicki minaj s,16.941519143771895,nicki_minaj_s
in ncaa tournament,16.933663096887148,in_ncaa_tournament
harry and meghan,16.92594617862837,harry_and_meghan
don t worry,16.911191603148772,don_t_worry
the exceptional traveler,16.909240138452972,the_exceptional_traveler
born to explore,16.89691560694494,born_to_explore
blake lively and,16.88083625918533,blake_lively_and
york film festival,16.878011222871134,york_film_festival
can teach us,16.853559191241686,can_teach_us
first time since,16.837022203184222,first_time_since
i ve learned,16.83671418588094,i_ve_learned
this week besides,16.769236970396573,this_week_besides
the looney front,16.7532088226824,the_looney_front
didn t know,16.734693770735298,didn_t_know
best road trips,16.73240937266541,best_road_trips
your weekly travel,16.729809688709985,your_weekly_travel
17 year old,16.702723877883578,17_year_old
speaks out against,16.697449585320086,speaks_out_against
dead at 77,16.67424804637596,dead_at_77
according to tripadvisor,16.667795418711044,according_to_tripadvisor
ll ever need,16.647197222874567,ll_ever_need
and amy poehler,16.61739711354221,and_amy_poehler
paris fashion week,16.600921975103,paris_fashion_week
faith in practice,16.577519286661875,faith_in_practice
year old boy,16.55729343836201,year_old_boy
cyrus and liam,16.533567387638755,cyrus_and_liam
making a murderer,16.528083134247485,making_a_murderer
mariah carey s,16.528077594903337,mariah_carey_s
in pictures faith,16.484409882270395,in_pictures_faith
pictures faith in,16.484409882270395,pictures_faith_in
bachelor in paradise,16.474904220178992,bachelor_in_paradise
16 year old,16.302793270994936,16_year_old
in los angeles,16.277563583383227,in_los_angeles
chefs we love,16.270029993606297,chefs_we_love
won t believe,16.22687261226399,won_t_believe
and jay z,16.204963496524027,and_jay_z
opens up about,16.191751754172117,opens_up_about
roll hall of,16.190755649451667,roll_hall_of
doesn t care,16.17444439170256,doesn_t_care
st patrick s,16.173668397262762,st_patrick_s
year old girl,16.172209161184796,year_old_girl
road trips from,16.124143127275712,road_trips_from
the difference between,16.1043612927219,the_difference_between
the met gala,16.100800890872026,the_met_gala
new york city,16.08333543488428,new_york_city
13 reasons why,16.050266176370684,13_reasons_why
alec baldwin s,16.010818208891212,alec_baldwin_s
otp s guide,16.009379931297723,otp_s_guide
what happened when,15.978589624568095,what_happened_when
re obsessed with,15.975605441481044,re_obsessed_with
away with murder,15.96888264178056,away_with_murder
on social media,15.953623872294793,on_social_media
teach us about,15.951000521942374,teach_us_about
mac and cheese,15.9440894057951,mac_and_cheese
a brief history,15.920862140016165,a_brief_history
been waiting for,15.920171610336602,been_waiting_for
and don ts,15.884310123230476,and_don_ts
carrie fisher s,15.84448574667536,carrie_fisher_s
you never knew,15.822691154262971,you_never_knew
girl in havana,15.811984540298894,girl_in_havana
a whole lot,15.80948535224216,a_whole_lot
place on earth,15.802742657666176,place_on_earth
fey and amy,15.802206352070506,fey_and_amy
miley cyrus and,15.80060372403004,miley_cyrus_and
ariana grande s,15.796578611450991,ariana_grande_s
probably didn t,15.79548699270435,probably_didn_t
the dark knight,15.782239647083061,the_dark_knight
